Country,Year,Total,Total Including Landuse,CO2 Only
Afghanistan,1990,15.2969,15.9612,2.9907
Afghanistan,1991,15.3514,15.3516,2.7412
Afghanistan,1992,14.0513,14.0515,1.4252
Afghanistan,1993,14.0649,14.065,1.352
Afghanistan,1994,14.0222,14.0224,1.2971
Afghanistan,1995,14.3679,14.3681,1.2458
Afghanistan,1996,15.351,15.3511,1.1761
Afghanistan,1997,16.3108,16.3109,1.0882
Afghanistan,1998,17.1511,17.1513,1.0332
Afghanistan,1999,18.0201,18.0202,0.8061
Afghanistan,2000,16.6085,16.6092,0.7584
Afghanistan,2001,15.1394,15.1397,0.6229
Afghanistan,2002,17.2393,17.2393,0.8904
Afghanistan,2003,18.0134,18.0134,1.0369
Afghanistan,2004,17.8962,17.8962,0.9563
Afghanistan,2005,18.8293,18.8293,1.3374
Afghanistan,2006,19.5583,19.559,1.6598
Afghanistan,2007,20.238,20.238,2.279
Afghanistan,2008,23.648,23.6488,4.2099
Afghanistan,2009,26.9613,26.9613,6.7711
Afghanistan,2010,30.6224,30.6224,8.4602
Afghanistan,2011,34.7302,34.7302,12.2378
Afghanistan,2012,30.7589,30.7589,8.5517
Albania,1990,12.0371,12.1807,6.6237
Albania,1991,9.4295,9.5756,4.6804
Albania,1992,7.1834,7.332,2.8289
Albania,1993,6.5306,6.6817,2.3089
Albania,1994,6.9933,7.147,2.3938
Albania,1995,6.2833,6.4395,1.9589
Albania,1996,5.9776,6.1214,1.9726
Albania,1997,5.2956,5.462,1.4813
Albania,1998,5.4628,5.6146,1.7103
Albania,1999,6.7252,6.8764,2.9813
Albania,2000,6.9589,7.1764,3.1379
Albania,2001,6.9592,7.8356,3.2
Albania,2002,7.5414,8.4256,3.67
Albania,2003,8.0552,8.9524,4.1295
Albania,2004,8.2436,9.1458,4.4158
Albania,2005,8.0462,8.9582,4.2155
Albania,2006,7.8835,7.6516,4.1301
Albania,2007,7.9406,7.9089,4.2933
Albania,2008,7.7499,7.5265,4.238
Albania,2009,7.6299,7.4037,4.1933
Albania,2010,7.975,7.7499,4.5485
Albania,2011,8.2444,8.0391,4.7785
Albania,2012,7.3332,7.2191,3.83
Algeria,1990,92.255,94.0745,69.5996
Algeria,1991,91.6761,93.2648,68.635
Algeria,1992,92.1393,93.7285,68.1796
Algeria,1993,100.2326,101.8224,75.5554
Algeria,1994,98.1717,99.7619,73.2444
Algeria,1995,100.1487,101.7394,74.6878
Algeria,1996,100.7321,102.3112,72.7802
Algeria,1997,104.8665,106.4167,74.6757
Algeria,1998,109.4997,111.0538,76.1473
Algeria,1999,115.7451,117.3051,79.9153
Algeria,2000,119.0905,121.0096,80.9427
Algeria,2001,116.7768,118.2522,77.1518
Algeria,2002,123.5349,125.0231,82.8558
Algeria,2003,128.4537,129.9617,86.2931
Algeria,2004,131.2492,132.7304,86.9744
Algeria,2005,136.4943,138.0438,91.62
Algeria,2006,142.5102,144.1031,96.291
Algeria,2007,150.9651,152.8032,103.6753
Algeria,2008,155.7524,157.358,107.9449
Algeria,2009,166.2352,167.7364,116.5058
Algeria,2010,167.8467,169.3229,116.827
Algeria,2011,173.9844,175.6161,120.9085
Algeria,2012,187.3349,189.0811,131.6345
Angola,1990,52.3449,105.0185,6.4579
Angola,1991,53.9428,106.6158,6.6611
Angola,1992,55.1535,107.8258,6.4589
Angola,1993,56.8919,109.5636,6.9997
Angola,1994,57.9605,110.6316,6.7822
Angola,1995,63.2909,115.9614,10.8677
Angola,1996,63.7804,120.3827,11.4655
Angola,1997,64.5449,119.0531,11.784
Angola,1998,67.9319,127.8072,11.7163
Angola,1999,67.8067,125.7902,12.8107
Angola,2000,69.3905,123.2677,12.825
Angola,2001,74.3634,121.3547,13.4909
Angola,2002,78.8565,129.1985,14.3113
Angola,2003,90.5141,140.9043,18.688
Angola,2004,96.1123,149.1673,19.4644
Angola,2005,99.2745,152.675,18.6439
Angola,2006,106.1246,155.7864,20.7232
Angola,2007,118.893,169.9666,23.403
Angola,2008,126.7638,176.7993,25.0796
Angola,2009,137.002,187.8515,27.2276
Angola,2010,147.9116,199.3001,28.9468
Angola,2011,150.7501,206.2984,29.2168
Angola,2012,149.9239,199.7219,29.3342
Antigua & Barbuda,1990,0.4227,0.4038,0.3004
Antigua & Barbuda,1991,0.419,0.4002,0.2895
Antigua & Barbuda,1992,0.4265,0.4079,0.2895
Antigua & Barbuda,1993,0.449,0.4305,0.3041
Antigua & Barbuda,1994,0.4644,0.4461,0.3114
Antigua & Barbuda,1995,0.4834,0.4652,0.3224
Antigua & Barbuda,1996,0.5013,0.4833,0.3224
Antigua & Barbuda,1997,0.534,0.5161,0.3371
Antigua & Barbuda,1998,0.5481,0.5303,0.3334
Antigua & Barbuda,1999,0.5806,0.563,0.3481
Antigua & Barbuda,2000,0.5943,0.5769,0.3444
Antigua & Barbuda,2001,0.6189,0.6149,0.3444
Antigua & Barbuda,2002,0.6613,0.6574,0.3627
Antigua & Barbuda,2003,0.7113,0.7075,0.3884
Antigua & Barbuda,2004,0.7534,0.7497,0.4067
Antigua & Barbuda,2005,0.7804,0.7769,0.4104
Antigua & Barbuda,2006,0.8229,0.8229,0.425
Antigua & Barbuda,2007,0.8956,0.8956,0.469
Antigua & Barbuda,2008,0.9352,0.9352,0.48
Antigua & Barbuda,2009,0.9925,0.9925,0.5093
Antigua & Barbuda,2010,1.018,1.018,0.524
Antigua & Barbuda,2011,1.0351,1.0351,0.513
Antigua & Barbuda,2012,1.1365,1.1365,0.5864
Argentina,1990,233.7956,312.9334,106.357
Argentina,1991,238.4044,306.0991,111.6405
Argentina,1992,242.951,311.3852,113.9208
Argentina,1993,243.312,312.4856,115.3229
Argentina,1994,253.6927,323.6057,123.4174
Argentina,1995,256.5896,327.242,126.5423
Argentina,1996,265.2518,336.1749,135.907
Argentina,1997,268.8841,341.0274,139.6335
Argentina,1998,270.8315,343.6716,143.3634
Argentina,1999,277.5198,352.2505,146.645
Argentina,2000,280.0677,353.1693,146.025
Argentina,2001,274.1757,345.0856,135.5755
Argentina,2002,266.7804,338.9397,127.8437
Argentina,2003,287.5601,361.0857,138.7102
Argentina,2004,302.206,377.3669,154.2489
Argentina,2005,305.8821,379.6889,157.6305
Argentina,2006,319.7875,384.452,167.9118
Argentina,2007,330.0338,394.9095,174.9396
Argentina,2008,338.3464,407.1063,185.8391
Argentina,2009,322.7855,389.4891,178.1424
Argentina,2010,323.5705,389.3786,183.1064
Argentina,2011,328.183,394.6995,191.0226
Argentina,2012,338.0027,405.0348,195.7599
Armenia,1990,,,20.7013
Armenia,1991,,,21.6437
